id,ime,drzava,tocke
9102,MEDETOV Akzhol,KAZ,6
15453,KHAPTSEV Artur,RUS,6
15786,PILLE Thomas,GER,6
17278,OKRUASHVILI Vakhtang,GEO,6
22207,JOEMAGI Mihkel,EST,6
25362,VARABYEU Siarhei,BLR,6
570,OSNACHS Vladimirs,LAT,4
8368,ZVIERIEV Sergii,UKR,4
28749,CHEN Sheng min,TPE,4
23581,SARWARI Mansour,AFG,3
12518,ADIYAMAN Semih,TUR,3
18706,BATINIC Ante vladimir,CRO,3
9667,SERBEST Burak,TUR,3
6831,JOSHI Rajan,NEP,2
11154,MEREDOV Kakajan,TKM,2
1944,STERKHOV Dmitriy,RUS,2
13612,CROITORU Mircea,ROU,2
14102,CHOI Sungwon,KOR,2
26651,MARTINS Yannick,MOZ,2
27942,ALZAABI Hassan,UAE,2
27947,ALSUWAIDI Mansoor,UAE,2
30881,KOSMENASHVILI Gurami,GEO,2
31301,JAFAROV Aykhan,AZE,2
34230,KONKROSHVILI Ambrosi,GEO,2
11916,BASSE Dimigou,SEN,2
12801,SOOFIANI Arash,USA,2
15665,POLNEAU Boduit wilfried anderson,CIV,2
21816,TSOUMITAS Dimitrios,GRE,2
29570,GAUTHIER Kevin,CAN,2
30728,NAGHEDIHOSSEINZADEHFELEH Ahmad,IRI,2
1932,HECL Radek,CZE,1
14321,URLIC Marijan,CRO,1
14519,FAGERHILL Sebastian,SWE,1
17152,KIBORDZALIDZE Guga,GEO,1
17695,ZUO Rongbo,CHN,1
20130,LEROUNIS Konstantinos,GRE,1
20489,PAHLEVANI GHAGHARGH Jafar,IRI,1
10394,OMAR Ali,LBA,1
15251,POIVEKA Jean luc,NCL,1
16570,SANTOS VASQUEZ Joshua,PER,1
22363,HNALEP Fabrice,NCL,1
22664,SINGH Udayvir,IND,1
23129,ALOMADI Laurent,GAB,1
23556,ALENEZI Mubarak,KUW,1
20,GASIMOV Elmar,AZE,2744
2309,MARET Cyrille,FRA,2502
613,KRPALEK Lukas,CZE,2420
19,PACEK Martin,SWE,1866
3623,HAGA Ryunosuke,JPN,1630
3528,FREY Karl-richard,GER,1612
891,DARWISH Ramadan,EGY,1472
4378,ARMENTEROS Jose,CUB,1412
608,PETERS Dimitri,GER,1354
9286,KORREL Michael,NED,1340
9520,NIKIFOROV Toma,BEL,1268
9714,CHO Guham,KOR,1264
9259,BISULTANOV Adlan,RUS,1254
8167,GVINIASHVILI Beka,GEO,1228
17878,BOUYACOUB Lyes,ALG,1186
285,GROL Henk,NED,1142
13562,KURBONOV Soyib,UZB,1050
1544,NAIDAN Tuvshinbayar,MGL,1035
24,MAMMADOV Elkhan,AZE,980
674,BLOSHENKO Artem,UKR,979
11829,BUZACARINI Rafael,BRA,972
482,RAKOV Maxim,KAZ,904
2684,MAHJOUB Javad,IRI,822
11254,REYES Kyle,CAN,806
10361,CIRJENICS Miklos,HUN,785
434,CORREA Luciano,BRA,770
363,KHAIBULAEV Tagir,RUS,754
9564,FLETCHER Benjamin,GBR,742
17383,WOLF Aaron,JPN,700
9396,FONSECA Jorge,POR,678
2994,KOSTER Jason,NZL,640
2856,DIDIER Duke,AUS,631
1094,MINASKIN Grigori,EST,615
14320,KUMRIC Zlatko,CRO,575
2479,SAYIDOV Ramziddin,UZB,520
4217,BEN KHALED Anis,TUN,473
1443,DI GUIDA Domenico,ITA,446
565,BORODAVKO Jevgenijs,LAT,432
17364,BILALOV Niiaz,RUS,426
5621,SAIDOV Saidzhalol,TJK,420
2673,CAMPOS Hector,ARG,416
1348,TAKAGI Kaihan,JPN,409
12582,REMARENCO Ivan,UAE,398
7630,SHUKUROV Jalil,AZE,352
3780,DELVERT Clement,FRA,346
5466,KRONBERGER Christoph,AUT,335
25741,KOTSOIEV Zelym,AZE,300
16240,NJI MOULUH Seidou,CMR,276
6453,JOERGENSEN Frederik,DEN,266
2135,MSKHALADZE Aleksandre,GEO,266
9566,AWITIALCARAZ Philip,GBR,264
9170,DESCHENES Marc,CAN,261
7435,TADEHARA Ajax,USA,249
9728,WON Jonghoon,KOR,228
15087,HU Kai,CHN,227
11906,TAVELURI Lasha,GEO,207
6653,SHAH Hussain shah,PAK,206
13758,D ARCO Vincenzo,ITA,202
9260,OMAROV Arsen,RUS,201
1168,DEMYANENKO Viktor,KAZ,197
3365,FOGASY Gergo,HUN,187
34139,DASHDULAM Ishdorj,MGL,180
20818,MANE Baboukar,SEN,164
10710,NDIAYE Mbagnick,SEN,163
3708,KHUTAG Tsogtgerel,MGL,162
7855,BOEHLER Laurin,AUT,162
146,MAMEDOV Chingiz,KGZ,157
2560,BAYARSAIKHAN Ambaselmaa,MGL,150
4595,RADU Valentin,ROU,140
9718,PALTCHIK Peter,ISR,140
7389,LOPORCHIO Giuliano,ITA,140
8178,TUSHISHVILI Guram,GEO,136
18018,ZAALISHVILI Aleksandre,GEO,131
988,PFEIFFER Dino,GER,127
3487,ARDIZIO Luca,ITA,127
7232,DVARBY Joakim,SWE,120
8374,SAVYTSKIY Anton,UKR,120
11412,DONIYOROV Erkin,UZB,120
34278,YAN NAING SOE,MYA,120
1152,LUCHYN Dmytro,UKR,114
16434,GEORGE Christopher,TTO,108
9248,ZANKISHIEV Kazbek,RUS,108
4678,WOJCIK Jakub,POL,108
4923,MOSER Patrik,SUI,106
15367,LOUZIR Khalid,MAR,106
12037,KOSYASHNIKOV Mikhail,RUS,100
16599,DONOSO Yeison,CHI,100
19292,CATHARINA Simeon,NED,100
15193,ROMANYUK Oleksandr,UKR,91
17436,ARIANO REBOUKA Nell honore,FRA,82
5306,GARCIA Sergio,MEX,81
9423,FOURIE Calvin,RSA,80
14759,KIM Leehyun,KOR,80
1223,JURISIC Stefan,SRB,77
1062,ORLIK Flavio,SUI,75
16269,OHAT Zalan,HUN,72
5823,SAN MARTIN CARRERA Alejandro,ESP,69
5315,PENA Anthony,VEN,67
3697,HWANG Min-ho,KOR,66
14887,LARCHANKA Viktar,BLR,66
20701,MATTSSON Emil,SWE,64
9727,KIM Younghun,KOR,64
12615,MANONGHO Luc odelin,GAB,64
14836,ESQUIVEL Alexis,MEX,64
11542,SCHUURMANS Elijah,AUS,61
733,RANDL Milan,SVK,60
3621,TAKAHASHI Ryosuke,JPN,60
13134,TE Rigule,CHN,60
28719,SAKAMOTO Kensuke,JPN,60
1531,DAVAADORJ Bat-erdene,MGL,60
30753,ORIBE Alfredo,CHI,60
17348,MAMISTVALOV Yakov,ISR,56
18694,PANTIC Danilo,MNE,56
14628,RIDDERSMA Sjors,NED,56
12276,APRAHAMIAN Pablo,URU,54
15967,JACOBS Andrew,USA,52
10764,TACHII Denis,MDA,52
2712,BUNDDORJ Janchivdorj,MGL,49
7200,TOKTOGONOV Bolot,KGZ,49
15499,HALL Adam,GBR,48
9955,HONG Yi chih,TPE,47
9298,IMINOV Akbarzhan,USA,46
14830,SERIKBAYEV Aibek,KAZ,44
20587,TRILLO VALEIRO Sergio,ESP,44
11115,IVANOV Filipp,RUS,42
10812,PINEDA Armando,GUA,42
14871,HAGENEDER Maximilian,AUT,40
4344,CAMBAMBA Audacio,ANG,40
4394,MBAKOM TCHIENGANG Fabius igor,CMR,40
11652,TANII Daiki,JPN,40
12753,BUECHEL David,LIE,39
2957,HU Mingchao,CHN,36
11243,SHIMOWADA Shohei,JPN,36
18008,TSULUKIDZE Rezo,GEO,36
27425,KRUEGER Mariusz,POL,36
30360,MANDIC Milos,SRB,36
11308,SHARIPOV Fakhriddin,UZB,36
15458,CHERKASOV Mykhailo,UKR,36
3312,KNAPEK Tomas,CZE,36
1364,LEKAVICIUS Zilvinas,LTU,34
9212,SMITH III La,USA,32
7154,CASTANO Camilo,COL,32
21810,BAKEKOLO KIBANGOU Farida ismael,CGO,32
9258,MAGOMEDOV Khaybula,RUS,30
2674,BACCINO Orlando,ARG,28
10470,DUGASSE Dominic,SEY,27
2565,SI Rijigawa,CHN,26
14697,RAKITA Semen,UKR,26
2737,ERDENEBILEG Enkhbat,MGL,25
25850,TAO Xin,CHN,24
10436,TRAORE Ayouba,MLI,24
22819,MUMLADZE Jaba,GEO,24
7538,TERHEC Joseph,FRA,23
3810,KAZACHKOV Alexey,RUS,21
17132,ERDOGAN Ali,TUR,21
17742,IBRAGIMOV Maksud,RUS,21
538,BAUZA Karolis,LTU,20
16383,BENAZCO ANGEL Carlos daniel,ESP,20
34650,LIN Cheng-hsuan,TPE,20
12281,BUENO Manuel,URU,19
21802,TURAN Timur,TUR,19
18166,MINCHIN Mikhail,ARM,19
3301,DZUR Miroslav,SVK,18
17167,GALANDI Philipp,GER,18
14469,HAJAS Matej,SVK,17
7627,DADASHOV Firudin,AZE,16
16484,KIM Gyeongjun,KOR,16
24611,GONCALVES Leonardo,BRA,16
24669,CALDER Cailin,GBR,16
34374,KIM Seongjun,KOR,16
26656,AZAROV Nikita,KAZ,14
17384,GOTO Ryutaro,JPN,14
14153,BENTO Casimiro,ANG,13
20641,KLIUCHNIKAU Pavel,BLR,12
22682,FARA Aaron,AUT,12
23440,NIEDZIELA Kamil,POL,12
28982,BOLOBAN Andrii,UKR,12
1591,ZARZECZNY Jakub,POL,12
5149,M BAYE Massamba,FRA,12
10076,ZHANG Jun,CHN,11
2789,NAFWA Reda,QAT,10
4147,CLEMENT Maxime,FRA,10
